run1,run2,family,skew_trec,skew_cop,collection
1,46,Tawn2,-1.02233802447939,-0.962331858015526,web2010
1,48,G,-0.766864389488626,-0.0107312337511257,web2010
1,49,J,0.119632431177059,-0.0130290100771314,web2010
1,50,t,0.871557908627413,0.0106031110744561,web2010
1,51,G,0.99966626694321,0.0146298138526907,web2010
1,52,G,0.938361020808378,0.0214964622284128,web2010
1,53,G,0.63680935026489,0.0161515972865024,web2010
1,54,G,-0.101118702010194,0.0135582289668655,web2010
1,55,G,0.604930800571677,0.0216107555306862,web2010
1,56,Tawn,-0.444511347032065,1.51259706013471,web2010
1,57,t,0.631036250572516,-0.0143764471448117,web2010
1,60,Tawn180,0.603341899964672,-0.185774417824195,web2010
1,61,J,0.579063811130892,-0.0101813762019332,web2010
1,62,Tawn180,0.590300748892616,-0.25230110939999,web2010
1,66,G,0.554727818107407,0.0207432110595732,web2010
1,68,G,-1.41079585869117,-0.00459895508057245,web2010
1,69,t,0.61107157519301,0.0439904444168053,web2010
1,70,J,0.676820567999883,0.0075201222910511,web2010
1,71,Tawn,1.05534501244057,0.377731455083164,web2010
1,72,Tawn,0.812388259639277,0.976682685160915,web2010
1,74,Tawn,0.796816877824657,0.900701363679765,web2010
1,77,Tawn,0.974919183296787,1.40580447138495,web2010
1,79,Tawn,1.38695570151035,1.74445569674298,web2010
1,80,Tawn,1.36658064832101,1.49595215800249,web2010
1,81,Tawn,1.26171830490614,1.31806113365046,web2010
1,82,G,0.12832086963298,0.00150297206925931,web2010
1,85,J,-0.785080226473621,-0.00593962265721345,web2010
1,87,J,-1.21138965394417,0.0181508636111436,web2010
1,88,J,0.499411432928587,0.00234949281864776,web2010
2,3,G,1.14667263696719,0.00523304916645767,web2010
2,4,J,0.331505298606449,-0.011876255237789,web2010
2,5,BB7,0.208419701096544,-0.000698324484935782,web2010
2,7,G,-0.830106238714127,0.00187275128048786,web2010
2,8,Tawn2,0.800493395225958,-0.370508482584397,web2010
2,9,Tawn2,0.273354298891171,-0.776685637892201,web2010
2,10,t,-0.504743966363147,0.0106555480542141,web2010
2,11,BB7,0.450230938018101,-0.0287098414800168,web2010
2,12,J,-0.461339836157701,-0.00305002842571663,web2010
2,13,t,0.880401354373672,-0.0125431755186789,web2010
2,14,N,0.203133708111992,0.0201938572790697,web2010
2,15,BB7,-0.136509438325179,-0.0287116118004374,web2010
2,16,Tawn,0.909640065819694,1.15028122963207,web2010
2,17,Tawn,0.95365359384801,1.20886318932552,web2010
2,18,SBB8,8.55875534587939e-05,0.00217088004851359,web2010
2,19,BB7,0.334270323826176,-0.00514800867629036,web2010
2,20,Tawn,1.50942272515273,1.59807079520552,web2010
2,21,J,0.554914569201358,-0.00414590905770952,web2010
2,22,G,0.551801901917498,0.0173500171721571,web2010
2,23,J,0.617033150433629,-0.00638986602960597,web2010
2,24,J,0.304187181824455,0.0230232337169059,web2010
2,25,J,0.0784648381912925,0.00540427924147817,web2010
2,26,J,0.28667929973978,0.00354871917765776,web2010
2,27,BB7,0.249060700262084,-0.0341864938044156,web2010
2,29,J,0.499903018302018,-0.0154818595376964,web2010
2,30,G,0.445259035470422,0.00418684347980112,web2010
2,31,SBB7,0.17050622436029,-0.0126131033601354,web2010
2,32,J,0.535169226643582,-0.00688131852792554,web2010
2,33,J,0.641940528728635,-0.0113279388021874,web2010
2,35,G,-0.422021023219348,0.000693254902718648,web2010
2,36,G,0.253872749482511,-0.00386931106649576,web2010
2,37,G,-2.05034851616527,-0.0103778685891492,web2010
2,38,G,0.877547658836229,-0.00566264783131059,web2010
2,39,G,0.835758155683893,0.013344895416452,web2010
2,40,J,-0.444429089773706,0.0106093039881486,web2010
2,41,J,-0.638571825241281,0.00592062232099774,web2010
2,43,J,-0.688668952864134,-0.00461844476216161,web2010
2,44,Tawn,0.0568182802766668,1.49701803734005,web2010
