run1,run2,family,skew_trec,skew_cop,collection
1,2,J,0.998302548333649,0.117863026015413,adhoc5
1,3,BB7,1.11089132133363,0.0308728542597058,adhoc5
1,4,t,1.17090744818883,-0.0142167559496266,adhoc5
1,5,G,1.34326058716694,-0.0152938191002531,adhoc5
1,6,J,-0.611105668486532,0.000115919418212632,adhoc5
1,7,SBB7,0.0154963011013452,-0.00596378587722914,adhoc5
1,8,t,1.98606792502569,0.0429448103889195,adhoc5
1,9,t,1.40782528538855,0.00032565362423592,adhoc5
1,10,Tawn,2.7235011255352,1.879361946095,adhoc5
1,11,Tawn2,-1.0961644357976,-1.72002110485188,adhoc5
1,12,BB7,-0.142006568484592,0.0152490185456701,adhoc5
1,13,J,1.24789914394527,-0.00944130748095285,adhoc5
1,14,J,-0.339944153891048,0.0012064554427619,adhoc5
1,15,Tawn,2.30978928806625,1.15165057403769,adhoc5
1,16,Tawn,2.36748613258255,1.15585560310038,adhoc5
1,17,SBB7,-0.500463934530082,-0.0112688843119118,adhoc5
1,18,SBB7,-0.886023973473452,-0.0208363540719717,adhoc5
1,19,G,0.0132297298901622,0.0193503494800888,adhoc5
1,20,G,1.50121393914803,0.0065124634409969,adhoc5
1,21,SBB7,0.360242522908717,0.0152822966360861,adhoc5
1,22,G,1.19346226164174,0.0166169260755242,adhoc5
1,24,G,0.641185653173373,0.0223783381151581,adhoc5
1,25,BB7,1.50514801950821,-0.0294162634633299,adhoc5
1,26,SBB7,0.411061084072652,0.0182452085369442,adhoc5
1,27,G,1.60033493928859,-0.0224515716269405,adhoc5
1,28,SC,0.587228512405511,0.0262079734161139,adhoc5
1,29,t,4.10647684253015,-0.117900500685989,adhoc5
1,30,G,-0.662632316799146,-0.00340573861780692,adhoc5
1,31,SBB7,-0.433772206422977,-0.0457500483052342,adhoc5
1,32,SBB7,0.415389997947706,-0.0124266632105761,adhoc5
1,33,N,3.07128448021334,-0.0439569226514491,adhoc5
1,34,Tawn,2.91097508685517,1.43121198158434,adhoc5
1,35,BB7,-0.70973220929144,0.0211558254031266,adhoc5
1,36,BB7,-0.99665633519238,-0.0136333453722421,adhoc5
1,39,J,0.698207626850548,0.00832859246013847,adhoc5
1,40,J,-0.26446270387667,0.0126459893488061,adhoc5
1,41,SG,2.31675699028788,0.00727035894206253,adhoc5
1,42,BB7,2.39266792439083,0.015988510903963,adhoc5
1,43,BB7,1.02358949856122,-0.0207830468778604,adhoc5
1,47,SBB7,-0.825317993270068,0.0290426622177912,adhoc5
1,48,J,-0.942367866541135,0.0166327445815206,adhoc5
1,49,SBB7,-1.01362328400686,0.0273261726515488,adhoc5
1,50,J,-0.93426006123655,0.0204360042034063,adhoc5
1,51,SBB7,0.474574622640514,-0.00663547128562389,adhoc5
1,52,Tawn,3.2131806336187,1.21727347926415,adhoc5
1,53,G,2.48043271366561,0.000224010849290693,adhoc5
1,54,SBB7,-0.460579803093344,-0.0104741598891401,adhoc5
1,55,Tawn,2.75412241258334,1.82022309407298,adhoc5
1,56,Tawn,2.12117399196727,1.82481895692649,adhoc5
1,57,SBB7,-0.0267319402157168,-0.0392620454307528,adhoc5
1,58,BB7,-1.08558852748984,-0.0346688088754906,adhoc5
1,59,BB7,-1.19739202305085,-0.0418592769550312,adhoc5
1,60,Tawn,2.89177000487966,1.63416555696535,adhoc5
1,61,SBB7,-0.337516742944821,0.00806809117054647,adhoc5
2,3,BB7,1.17436117591283,-0.0201340265457517,adhoc5
2,4,t,1.23368421250488,-0.0296112240526201,adhoc5
2,5,G,1.30013833941652,0.0352016783334967,adhoc5
2,6,BB7,-0.798681104962547,-0.0422757648280938,adhoc5
2,7,SBB7,0.0379048958460016,-0.0382902148095105,adhoc5
2,8,t,2.11866282080946,0.0421774889864802,adhoc5
2,9,t,1.45426423019705,0.0244512122730241,adhoc5
2,10,Tawn,2.84507966271416,1.92203070945589,adhoc5
2,11,Tawn2,-1.13880448082701,-1.81143932571733,adhoc5
2,12,BB7,-0.160872839659903,-0.0148018992135863,adhoc5
2,13,J,1.27956751753726,-0.010946466487032,adhoc5
2,14,J,-0.305411629637819,0.0317555911108703,adhoc5
2,15,Tawn,2.39303585266669,1.28324052260592,adhoc5
2,16,t,2.45081486187261,-0.0469001135486816,adhoc5
2,17,SBB7,-0.558154447975717,-0.00857467572185684,adhoc5
2,18,SBB7,-0.939489567914651,-0.0067123783511622,adhoc5
2,19,G,-0.021285839792792,0.0362414167240684,adhoc5
2,20,G,1.66322683201263,0.0388437067988407,adhoc5
2,21,G,0.373148355190418,-0.00896152478855883,adhoc5
2,22,G,1.36724680141121,-0.0552075229476393,adhoc5
2,24,G,0.660972866145638,-0.000461507780221079,adhoc5
2,25,BB7,1.5311353158654,0.022847633212213,adhoc5
2,26,SBB7,0.450787419453,0.0108284941885006,adhoc5
2,27,G,1.69325427188586,-0.000296562200250452,adhoc5
2,28,SC,0.599313022833198,-0.00938410312281608,adhoc5
2,29,Tawn,4.34315224066834,3.22306266930453,adhoc5
2,30,G,-0.679890682617836,0.0013106031665763,adhoc5
2,31,SBB7,-0.423344053579996,0.00837688828399604,adhoc5
2,32,SBB7,0.4317154696251,0.00463588561948127,adhoc5
2,33,N,3.065308745083,-0.0389722903415231,adhoc5
2,34,Tawn,2.93902332929184,1.44245975572674,adhoc5
2,35,t,-0.817178743211633,-0.0191565903109061,adhoc5
2,36,BB7,-1.13150873420406,0.0244752959729209,adhoc5
2,39,SBB7,0.434102939922022,-0.00669455696302473,adhoc5
2,40,J,-0.392052952890302,-0.0327842460386121,adhoc5
