run1,run2,family,skew_trec,skew_cop,collection
2,68,G,-0.441866022633,-0.0200955125364824,web2010
2,69,G,0.237479282203497,-0.0149179732285848,web2010
2,70,G,0.0972985317582858,0.014991750396691,web2010
2,71,SJ,0.523302729391572,0.0109673872488946,web2010
2,72,G,-0.306294430201416,-0.032143463484954,web2010
2,74,J,-0.121020501447517,-0.00253085868319966,web2010
2,77,Tawn,1.22876818822541,1.29991069052155,web2010
2,79,Tawn2_180,1.8419906066716,0.661529466119388,web2010
2,80,F,1.98239754908844,0.0204612613625502,web2010
2,81,SJ,1.98570299197919,0.0352895219652496,web2010
2,82,N,0.0375505077213038,-0.012550063664807,web2010
2,85,Tawn2_180,0.549215249888735,0.447785259818616,web2010
2,87,SC,-0.0580676775406062,-0.00995333496829689,web2010
2,88,G,0.0853629103084007,0.00914124716089728,web2010
3,4,F,-1.3339527158269,-0.002615631328224,web2010
3,5,t,0.100481402397866,-0.0107929937519466,web2010
3,6,I,-0.0937458044304528,-0.00982628556778638,web2010
3,7,G,0.547593858117776,0.0123605510281963,web2010
3,8,I,0.45177246871406,0.00779809071541947,web2010
3,9,t,0.300552910207361,0.00340025178521,web2010
3,10,t,0.659837754274062,0.0627452631784319,web2010
3,11,Tawn,1.60377093961892,1.18162476263198,web2010
3,12,t,0.327039454955302,-0.029726677747082,web2010
3,13,F,-0.160825356011793,0.0161267846461711,web2010
3,14,F,-0.272162068261237,-0.00238678266050947,web2010
3,15,F,1.3905900415994,0.0283426867551218,web2010
3,16,F,0.27979165105335,-0.0235190542464487,web2010
3,17,F,0.465286665277705,0.00319181278687082,web2010
3,18,BB8,1.67451820635529,0.0458181734027167,web2010
3,19,F,1.39304347065555,-0.0315531226930837,web2010
3,20,F,2.0340479271675,-0.0285824516525698,web2010
3,21,Tawn,1.48337928200025,1.10960975288974,web2010
3,22,Tawn2_180,1.63861207027202,0.677208635812057,web2010
3,24,J,0.0932752019976193,0.00139427453289414,web2010
3,25,J,-0.0704065087261094,-0.00338413911648133,web2010
3,26,J,0.20033510810535,0.0306022173409535,web2010
3,27,BB8,0.693893897943222,-0.0226190646611063,web2010
3,29,J,0.904146058744766,0.0284964537866174,web2010
